session_id,archetype,weighted_sattva,weighted_rajas,weighted_tamas,bayes_sattva,bayes_rajas,bayes_tamas
resp_10909,tamas,16.33986928104575,31.862745098039213,51.79738562091502,2.9740661423465188e-08,0.07137758741631646,99.92862238284303
resp_11106,tamas,0.0,25.833333333333336,74.16666666666667,3.720238094573769e-18,1.7857142853954088e-08,99.99999998214287
resp_11360,tamas,8.19672131147541,39.344262295081975,52.459016393442624,2.4999999999937513e-10,3.9999999999900013,95.99999999975999
resp_12302,rajas,24.63054187192118,55.66502463054187,19.70443349753695,1.5624998779296976e-06,99.9999921875006,6.249999511718787e-06
resp_12332,tamas,0.0,40.78303425774878,59.216965742251226,2.3806803032034444e-15,0.011427265455376529,99.98857273454462
resp_12572,sattva,58.333333333333336,25.0,16.666666666666664,99.99998384000261,1.5999997414400425e-05,1.5999997414400427e-07
resp_12858,tamas,16.260162601626014,26.016260162601622,57.72357723577235,3.5714209183709904e-10,0.0002142852551022594,99.99978571438774
resp_12955,tamas,24.570024570024568,35.21703521703522,40.21294021294021,0.00010080634999359884,80.64507999487903,19.35481919877097
resp_12989,rajas,0.0,86.77685950413223,13.223140495867769,1.041666666666667e-21,100.0,1.4583333333333333e-15
resp_13912,rajas,24.93765586034913,55.11221945137157,19.950124688279303,8.333333277777781e-08,99.99999933333334,5.833333294444446e-07
resp_14032,rajas,8.123476848090982,60.19496344435418,31.68155970755483,2.4999998500000027e-13,99.9999940000001,5.9999996400000065e-06
resp_14105,sattva,66.66666666666666,8.333333333333332,25.0,99.99999998999898,9.999999998999899e-13,9.999999998999899e-09
resp_14326,sattva,65.57377049180329,32.786885245901644,1.639344262295082,99.99998400000236,1.5999997440000383e-05,1.9999996800000478e-13
resp_14327,rajas,16.666666666666664,80.0,3.3333333333333335,1.5624999999999997e-14,99.99999999999999,6.249999999999999e-16
resp_15648,mixed,33.33333333333333,47.5,19.166666666666664,0.0008333263597805794,99.99916317366952,3.4999707110784337e-06
resp_17068,mixed,33.33333333333333,56.666666666666664,10.0,0.00012499984374707038,99.99987499765626,2.4999968749414065e-09
resp_17077,sattva,66.66666666666666,22.5,10.833333333333334,99.99999989996,9.999999989996002e-08,3.9999999959984e-11
resp_17662,tamas,8.156606851549757,18.76019575856444,73.08319738988581,5.208333333311634e-16,4.1666666666493063e-10,99.99999999958334
resp_18224,tamas,0.0,24.979854955680903,75.0201450443191,3.720238094573769e-18,1.7857142853954085e-08,99.99999998214287
resp_18535,rajas,24.793388429752067,57.02479338842975,18.181818181818183,1.2499999812500002e-06,99.99999850000002,2.4999999625000005e-07
resp_18920,mixed,24.793388429752067,49.586776859504134,25.619834710743806,4.166666065972308e-07,99.99998558333542,1.3999997981666954e-05
