id,archetype,file
resp_89378,tamas,dummy_data/resp_89378.json
resp_32005,tamas,dummy_data/resp_32005.json
resp_86220,rajas,dummy_data/resp_86220.json
resp_88216,rajas,dummy_data/resp_88216.json
resp_36316,mixed,dummy_data/resp_36316.json
resp_36240,sattva,dummy_data/resp_36240.json
resp_76731,tamas,dummy_data/resp_76731.json
resp_65463,rajas,dummy_data/resp_65463.json
resp_14327,rajas,dummy_data/resp_14327.json
resp_71081,tamas,dummy_data/resp_71081.json
resp_60241,rajas,dummy_data/resp_60241.json
resp_26112,sattva,dummy_data/resp_26112.json
resp_88746,sattva,dummy_data/resp_88746.json
resp_33162,rajas,dummy_data/resp_33162.json
resp_44821,sattva,dummy_data/resp_44821.json
resp_65829,sattva,dummy_data/resp_65829.json
resp_83254,mixed,dummy_data/resp_83254.json
resp_54293,sattva,dummy_data/resp_54293.json
resp_95606,tamas,dummy_data/resp_95606.json
resp_56726,tamas,dummy_data/resp_56726.json
resp_74372,mixed,dummy_data/resp_74372.json
resp_64294,rajas,dummy_data/resp_64294.json
resp_72053,rajas,dummy_data/resp_72053.json
resp_71197,tamas,dummy_data/resp_71197.json
resp_39975,mixed,dummy_data/resp_39975.json
resp_82677,rajas,dummy_data/resp_82677.json
resp_31159,mixed,dummy_data/resp_31159.json
resp_22837,mixed,dummy_data/resp_22837.json
resp_36495,tamas,dummy_data/resp_36495.json
resp_79233,mixed,dummy_data/resp_79233.json
resp_24151,mixed,dummy_data/resp_24151.json
resp_12989,rajas,dummy_data/resp_12989.json
resp_50205,tamas,dummy_data/resp_50205.json
resp_72862,sattva,dummy_data/resp_72862.json
resp_69694,mixed,dummy_data/resp_69694.json
resp_63069,sattva,dummy_data/resp_63069.json
resp_69188,sattva,dummy_data/resp_69188.json
resp_48597,mixed,dummy_data/resp_48597.json
resp_96060,sattva,dummy_data/resp_96060.json
resp_41602,mixed,dummy_data/resp_41602.json
resp_88320,rajas,dummy_data/resp_88320.json
resp_58501,sattva,dummy_data/resp_58501.json
resp_26554,sattva,dummy_data/resp_26554.json
resp_92514,tamas,dummy_data/resp_92514.json
resp_82836,sattva,dummy_data/resp_82836.json
resp_96380,rajas,dummy_data/resp_96380.json
resp_27778,mixed,dummy_data/resp_27778.json
resp_17068,mixed,dummy_data/resp_17068.json
resp_88881,tamas,dummy_data/resp_88881.json
resp_88719,mixed,dummy_data/resp_88719.json
resp_49897,sattva,dummy_data/resp_49897.json
resp_35440,rajas,dummy_data/resp_35440.json
resp_12302,rajas,dummy_data/resp_12302.json
resp_98519,mixed,dummy_data/resp_98519.json
resp_30044,rajas,dummy_data/resp_30044.json
resp_26070,sattva,dummy_data/resp_26070.json
resp_61724,tamas,dummy_data/resp_61724.json
resp_10909,tamas,dummy_data/resp_10909.json
resp_85943,tamas,dummy_data/resp_85943.json
resp_88183,sattva,dummy_data/resp_88183.json
resp_92068,rajas,dummy_data/resp_92068.json
resp_51828,sattva,dummy_data/resp_51828.json
resp_30566,sattva,dummy_data/resp_30566.json
resp_50157,mixed,dummy_data/resp_50157.json
resp_53675,tamas,dummy_data/resp_53675.json
resp_59741,sattva,dummy_data/resp_59741.json
resp_68289,sattva,dummy_data/resp_68289.json
resp_30050,rajas,dummy_data/resp_30050.json
resp_24720,rajas,dummy_data/resp_24720.json
resp_22306,mixed,dummy_data/resp_22306.json
resp_96611,sattva,dummy_data/resp_96611.json
resp_80069,tamas,dummy_data/resp_80069.json
resp_23423,sattva,dummy_data/resp_23423.json
resp_28933,sattva,dummy_data/resp_28933.json
resp_11360,tamas,dummy_data/resp_11360.json
resp_45927,sattva,dummy_data/resp_45927.json
resp_25194,mixed,dummy_data/resp_25194.json
resp_67337,tamas,dummy_data/resp_67337.json
resp_49657,mixed,dummy_data/resp_49657.json
resp_44520,mixed,dummy_data/resp_44520.json
resp_37945,tamas,dummy_data/resp_37945.json
resp_24484,tamas,dummy_data/resp_24484.json
resp_85156,sattva,dummy_data/resp_85156.json
resp_68461,sattva,dummy_data/resp_68461.json
resp_87535,rajas,dummy_data/resp_87535.json
resp_64052,mixed,dummy_data/resp_64052.json
resp_84978,sattva,dummy_data/resp_84978.json
resp_21167,rajas,dummy_data/resp_21167.json
resp_52423,rajas,dummy_data/resp_52423.json
resp_12955,tamas,dummy_data/resp_12955.json
resp_70304,tamas,dummy_data/resp_70304.json
resp_21471,rajas,dummy_data/resp_21471.json
resp_46618,rajas,dummy_data/resp_46618.json
resp_19664,mixed,dummy_data/resp_19664.json
resp_46852,sattva,dummy_data/resp_46852.json
resp_55769,sattva,dummy_data/resp_55769.json
resp_28860,mixed,dummy_data/resp_28860.json
resp_65041,sattva,dummy_data/resp_65041.json
resp_73860,sattva,dummy_data/resp_73860.json
resp_72427,sattva,dummy_data/resp_72427.json
resp_47905,mixed,dummy_data/resp_47905.json
resp_75180,mixed,dummy_data/resp_75180.json
resp_46912,rajas,dummy_data/resp_46912.json
resp_66305,rajas,dummy_data/resp_66305.json
resp_54703,mixed,dummy_data/resp_54703.json
